Latitude,Longitude,Comment,G&G-DO
1138.08066,12226.14962,19.0,6.07
1138.78109,12224.87024,23.0,4.573
1139.55072,12225.27447,34.0,7.305
1138.14785,12224.47252,28.0,6.885
1137.99598,12225.06538,30.0,8.246
1139.29401,12225.49891,36.0,8.464
1139.22229,12224.50956,24.0,5.189
1139.29604,12225.37057,33.0,8.182
1138.71158,12224.49976,26.0,7.011
1138.57157,12224.03504,27.0,4.19
1138.31191,12224.99169,29.0,6.094
1139.29429,12225.50081,37.0,5.815
1139.04647,12224.0811,25.0,5.708
1139.3462,12225.45717,38.0,12.691
1138.997,12225.373,22.0,4.867
1137.469,12225.563,31.0,7.471
1139.10644,12225.49734,32.0,6.19
1139.341,12225.41,35.0,12.02
1139.389,12225.42,39.0,7.771
1139.423,12225.393,40.0,10.256
